233fc0f9b84447f3	CVS Health	Data Engineer	Hartford, CT	DE	ENTRY_LEVEL	$73,500 - $150,000 a year
3090077b964b831f	Avalon Healthcare Solutions	Data Engineer I	Remote	DE	ENTRY_LEVEL	NA
1c2916946c3f96f1	Randstad Digital	Data Center Engineer - NH	Salem, NH	DE	ENTRY_LEVEL	$26 - $30 an hour
55a81be489eee471	Adventist Health	Data Engineer	Roseville, CA 95661 (Stoneridge area)	DE	ENTRY_LEVEL	$89,603 - $134,404 a year
c36e412c226d5d7c	Apple	Site Reliability Engineer, Data Analytics	San Diego, CA	DE	ENTRY_LEVEL	NA
5844b202d557691e	Apple	Software Development Engineer - Data	Cupertino, CA	DE	ENTRY_LEVEL	NA
3eaba16f277f60bf	i360	Data Engineer	Arlington, VA 22201	DE	ENTRY_LEVEL	NA
ceaf81607000bac1	Sumitomo Mitsui Banking Corporation	Software Engineer - Data (Hybrid)	Scottsdale, AZ 85255 (North Scottsdale area)	DE	ENTRY_LEVEL	NA
a60bc9763e2fe45e	Actalent	Data Engineer	Cupertino, CA 95014	DE	ENTRY_LEVEL	$55 an hour
dc268054bcf75b5d	Global Alliant Inc	Siebel CRM Data Engineer	Hybrid remote in Washington, DC 20001	DE	ENTRY_LEVEL	$120,000 a year
10de23c5638cae1c	TENICA and Associates LLC	Data Science Cyber Systems Engineer	Springfield, VA 22150	DE	ENTRY_LEVEL	Estimated $130K - $164K a year
8cf49541595b8246	Michelin	Data Engineer (Experienced)	Greenville, SC	DE	ENTRY_LEVEL	Estimated $78.2K - $99.1K a year
f5501e67a848157f	VA Dept of Transportation	Modeling Data Engineer	Richmond, VA	DE	ENTRY_LEVEL	$72,738 - $118,200 a year
158b65e3a6ae8fbc	Michelin	Data Engineer (Experienced)	Greenville, SC	DE	ENTRY_LEVEL	Estimated $79.5K - $101K a year
aa3fe03882d413c5	Blackbaud	Senior Security Engineer - Data Loss Protection	Charleston, SC 29492	DE	ENTRY_LEVEL	Estimated $79.8K - $101K a year
0ed2336f40685acb	Tampa General Hospital	Business Intelligence Data Engineer	Hybrid remote in Tampa, FL 33606	DE	ENTRY_LEVEL	$79,268.80 a year
7809273a2ee1bcc5	Advanced Micro Devices, Inc	Data Fabric Front-End Physical Design Engineer	Austin, TX 78735 (East Oak Hill area)	DE	ENTRY_LEVEL	Estimated $100K - $127K a year
d3fd833bba947907	Stryker	Quality and Data Engineer (Hybrid)	San Jose, CA	DE	ENTRY_LEVEL	$85,000 - $132,300 a year
09d033919c0e3392	MSC Industrial Supply Co.	Data Platform Engineer	Davidson, NC	DE	ENTRY_LEVEL	$70,980 - $111,540 a year
bfce23ac221495a0	Noblis	Software Engineer & Data Analysis	Fort Washington, PA	DE	ENTRY_LEVEL	Estimated $58.5K - $74.1K a year
5716a7cff7e2b290	Netflix	Technical Support Engineer (L5) - Data Platform, Online Data	Los Gatos, CA	DE	ENTRY_LEVEL	Estimated $99.9K - $127K a year
87ff1d296e8fca1b	Leidos	UAS Data Links Test Engineer	Huntsville, AL 35806	DE	ENTRY_LEVEL	$78,000 - $141,000 a year
b0299bc139d7b409	Apple	Software Engineer - Data Engineering, News, Stocks, and Weather	Cupertino, CA	DE	ENTRY_LEVEL	NA
6d2cce397534cb4b	Apple	Big Data Platform Engineer	Cupertino, CA	DE	ENTRY_LEVEL	NA
d931ec0a388c6618	BOEING	Associate Flight Technical Data Engineer	Tukwila, WA	DE	ENTRY_LEVEL	$68,850 - $93,150 a year
4d1045a4a9535534	Tekton Labs	Data Engineer [On Premise] Perú - Argentina	Remote in Arkansas	DE	ENTRY_LEVEL	NA
6c3a595e45ab06ca	Hewlett Packard Enterprise	Zerto, Sales Engineer - Data Protection - East	Massachusetts	DE	ENTRY_LEVEL	$115,300 - $259,500 a year
e05bef6e65f52e83	Modern Technology Solutions, Inc.	Data Engineer - Subject Matter Expert, C-12 / T-38, Part-time Variable - Remote	Remote	DE	ENTRY_LEVEL	Estimated $118K - $150K a year
4d89fd151c8714ef	Apple	Computer Graphics/Machine Learning Engineer - Synthetic Data	Cupertino, CA	DE	ENTRY_LEVEL	NA
3d91e29a4f013fee	JLL	Data Center Facilities Engineer	San Antonio, TX 78216 (Airport area)	DE	ENTRY_LEVEL	$34 - $39 an hour
197619ae7e48f77b	Central Coast Community Energy	Data Engineer	Hybrid remote in Monterey, CA 93940	DE	ENTRY_LEVEL	$113,786 - $175,056 a year
439cb20bce09c019	Hewlett Packard Enterprise	Zerto, Sales Engineer - Data Protection - West	Texas	DE	ENTRY_LEVEL	$115,300 - $259,500 a year
af5d32e6e1cf8e95	TikTok	Software Engineer - Streaming / Real time, Ads Data	Seattle, WA	DE	ENTRY_LEVEL	$137,750 - $237,500 a year
ef58e576737c548f	Oracle	System Engineer 1, Data Protection	Kansas City, MO 64137 (Fairlane area)	DE	ENTRY_LEVEL	Estimated $83.6K - $106K a year
d1fb38410e5acd85	Amazon Data Services, Inc.	DCEO Engineer 3, Data Center Engineering Operations	Manassas, VA 20109	DE	ENTRY_LEVEL	Estimated $68.4K - $86.6K a year
a594ba5a00e3a1e1	Lionwood.software	Data Engineer	United States	DE	ENTRY_LEVEL	NA
fa61878ec9669ade	CBRE	Chief Building Engineer - Data Center	Poughkeepsie, NY	DE	ENTRY_LEVEL	$83,000 a year
49e18f95832bb859	Leidos	Data Analyst and Visualization Engineer	Washington, DC 20090 (South West area)	DE	ENTRY_LEVEL	$78,000 - $141,000 a year
1ea80bdc650c3291	Jacobs	Electrical Engineer - Data Center - US REMOTE	Remote in Portland, OR 97222	DE	ENTRY_LEVEL	Estimated $81.5K - $103K a year
865015a6e3fced6a	US Veterans Health Administration	General Engineer - Data Scientist/Statistician/Mathematician/Methodologist/Computer Scientist	Wallops Island, VA	DE	ENTRY_LEVEL	$116,393 - $151,308 a year
85e3aac341a64553	Bath & Body Works	Supply Chain Data and Analytics Engineer	Hybrid remote in Columbus, OH	DE	ENTRY_LEVEL	NA
54636fbb896da89a	TheRIIM LLC	Data Engineer	Houston, TX	DE	ENTRY_LEVEL	Estimated $117K - $149K a year
ef10c08464638b87	CUBRC INC	Data Science Engineer	Buffalo, NY 14225	DE	ENTRY_LEVEL	$70,000 - $75,000 a year
78a98e5123b74d36	Apple	ML and Data Infrastructure Engineer - SPG	Cupertino, CA	DE	ENTRY_LEVEL	NA
6a9bba01070091e4	Affine	Full Stack Data Engineer	Houston, TX	DE	ENTRY_LEVEL	Estimated $120K - $152K a year
